building_id,city,area,community,complex,building
1438,dubai,dubai hills estate,greenside residence,,greenside residence tower c
1439,dubai,dubai hills estate,ellington house,,ellington house 2
1440,dubai,dubai hills estate,ellington house,,ellington house 4
1441,dubai,dubai hills estate,ellington house,,ellington house 3
1442,dubai,dubai hills estate,ellington house,,ellington house 1
1443,dubai,dubai hills estate,elvira,,tower b
1444,dubai,dubai hills estate,elvira,,tower a
1445,dubai,dubai hills estate,club drive,,club drive tower a
1446,dubai,dubai hills estate,club drive,,club drive tower b
1447,dubai,dubai hills estate,collective,,collective tower 1
1448,dubai,dubai hills estate,collective,,collective tower 2
1449,dubai,dubai hills estate,collective 2.0,,collective 2.0 tower a
1450,dubai,dubai hills estate,collective 2.0,,collective 2.0 tower b
1451,dubai,dubai hills estate,executive residences,,executive residences 2
1452,dubai,dubai hills estate,executive residences,,executive residences 1
1453,dubai,dubai hills estate,socio,,socio tower b
1454,dubai,dubai hills estate,socio,,socio tower a
1455,dubai,dubai hills estate,park point,,park point building d
1456,dubai,dubai hills estate,park point,,park point building b
1457,dubai,dubai hills estate,park point,,park point building c
1458,dubai,dubai hills estate,park point,,park point building a
1459,dubai,dubai hills estate,park field,,park field building 2
1460,dubai,dubai hills estate,park field,,park field building 1
1461,dubai,al furjan,al furjan west,,azizi amber
1462,dubai,al furjan,al furjan west,,murooj al furjan west
1463,dubai,al furjan,al furjan west,,the stella’s by murano
1464,dubai,al furjan,al furjan west,,dreamz by danube
1465,dubai,al furjan,al furjan west,,al furjan west pavilion
1466,dubai,al furjan,al furjan west,,the estate ii townhouses
1467,dubai,al furjan,nadine residence,,nadine residence 2
1468,dubai,al furjan,nadine residence,,nadine residence 1
1469,dubai,al furjan,avenue residence,,avenue residence 2
1470,dubai,al furjan,avenue residence,,avenue residence 1
1471,dubai,al furjan,starz by danube,,starz by danube tower 1
1472,dubai,al furjan,starz by danube,,starz by danube tower 2
1473,dubai,al furjan,glamz by danube,,glamz residence tower 2
1474,dubai,al furjan,glamz by danube,,glamz residence tower 1
1475,dubai,al furjan,masakin al furjan,,masakin al furjan block a
1476,dubai,al furjan,masakin al furjan,,masakin al furjan block f
1477,dubai,al furjan,masakin al furjan,,masakin al furjan block c
1478,dubai,al furjan,masakin al furjan,,masakin al furjan block d
1479,dubai,al furjan,masakin al furjan,,masakin al furjan block b
1480,dubai,mohammed bin rashid city,district 11,,the fields
1481,dubai,mohammed bin rashid city,district 11,,opal gardens
1482,dubai,mohammed bin rashid city,district 11,,starlight park
1483,dubai,mohammed bin rashid city,district 11,,wadi villas
1484,dubai,mohammed bin rashid city,district 11,,karl lagerfeld villas
1485,dubai,mohammed bin rashid city,district 11,,the sanctuary by ellington
1486,dubai,mohammed bin rashid city,district 11,,meydan south villas
1487,dubai,mohammed bin rashid city,district 11,,the woodland residences
1488,dubai,mohammed bin rashid city,district 11,,grenland residence
1489,dubai,mohammed bin rashid city,district 11,,cassia at the fields
1490,dubai,mohammed bin rashid city,district one,,the residences at district one
1491,dubai,mohammed bin rashid city,district one,,naya at district one
1492,dubai,mohammed bin rashid city,district one,,lagoon views
1493,dubai,mohammed bin rashid city,district one,,district one mansions
1494,dubai,mohammed bin rashid city,district one,,the residences
1495,dubai,mohammed bin rashid city,district 7,,mag city
1496,dubai,mohammed bin rashid city,district 7,,keturah reserve
1497,dubai,mohammed bin rashid city,district 7,,mag park
1498,dubai,jumeirah village triangle (jvt),jvt district 3,,bali residences
1499,dubai,jumeirah village triangle (jvt),jvt district 3,,red square
1500,dubai,jumeirah village triangle (jvt),jvt district 3,,sonate residences
1501,dubai,jumeirah village triangle (jvt),jvt district 3,,the community
1502,dubai,jumeirah village triangle (jvt),jvt district 3,,terhab hotel and towers
1503,dubai,jumeirah village triangle (jvt),jvt district 3,,pacific edmonton
1504,dubai,jumeirah village triangle (jvt),jvt district 3,,cavendish square
1506,dubai,jumeirah village triangle (jvt),jvt district 3,,golden wood views
1507,dubai,jumeirah village triangle (jvt),jvt district 7,,volga tower
1508,dubai,jumeirah village triangle (jvt),jvt district 7,,tranquil wellness tower
1509,dubai,jumeirah village triangle (jvt),jvt district 7,,the one
1510,dubai,jumeirah village triangle (jvt),jvt district 7,,zazen one
1512,dubai,jumeirah village triangle (jvt),jvt district 4,,fashionz by danube
1513,dubai,jumeirah village triangle (jvt),jvt district 4,,seslia tower
1514,dubai,jumeirah village triangle (jvt),jvt district 4,,al manara tower
1515,dubai,jumeirah village triangle (jvt),jvt district 4,,belmont residences
1516,dubai,jumeirah village triangle (jvt),jvt district 4,,miami 2 by samana
1517,dubai,jumeirah village triangle (jvt),jvt district 4,,elbrus tower
1518,dubai,jumeirah village triangle (jvt),jvt district 4,,green park
1521,dubai,jumeirah village triangle (jvt),jvt district 2,,al jawhara residences
1522,dubai,jumeirah village triangle (jvt),jvt district 2,,lilium tower
1523,dubai,jumeirah village triangle (jvt),jvt district 2,,cloud tower
1524,dubai,jumeirah village triangle (jvt),jvt district 2,,rosemont residences
1527,dubai,jumeirah village triangle (jvt),jvt district 1,,555 park views
1528,dubai,jumeirah village triangle (jvt),jvt district 1,,la residence
1529,dubai,jumeirah village triangle (jvt),jvt district 1,,maya 5
1530,dubai,jumeirah village triangle (jvt),jvt district 1,,altai tower
1532,dubai,jumeirah village triangle (jvt),jvt district 1,,emerald vision tower
1535,dubai,jumeirah village triangle (jvt),jvt district 5,,the imperial residence
1536,dubai,jumeirah village triangle (jvt),jvt district 5,,taraf 2 residence
1548,dubai,dubai harbour,emaar beachfront,,grand bleu towers
1549,dubai,dubai harbour,emaar beachfront,,address the bay
1550,dubai,dubai harbour,emaar beachfront,,marina vista
1551,dubai,dubai harbour,emaar beachfront,,sunrise bay
1552,dubai,dubai harbour,emaar beachfront,,palace beach residence
1553,dubai,dubai harbour,emaar beachfront,,seapoint
1554,dubai,dubai harbour,emaar beachfront,,beachgate by address
1555,dubai,dubai harbour,emaar beachfront,,beach isle
1556,dubai,dubai harbour,emaar beachfront,,beach vista
1557,dubai,dubai harbour,emaar beachfront,,beach mansion
1558,dubai,dubai harbour,emaar beachfront,,bayview by address resort
1559,dubai,dubai harbour,sobha seahaven,,sobha seahaven tower a
1560,dubai,dubai harbour,sobha seahaven,,sobha seahaven tower b
1561,dubai,dubai harbour,sobha seahaven,,sobha seahaven tower c
